Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Jase Bond - La mort ne meurt jamais,Maxime Scharwath,No info,"Damien Moriggi, Olivia Borgeaud, Maximilien Zeraschi",,No info
Mercenarios en acción,Pablo Martínez,No info,"Torres Héctor, Martínez Pablo",,45m
Doodh Ka Karz,No info,No info,"Torres Héctor, Martínez Pablo",,No info
The Secret,Carlos Burley,No info,Carlos Burley,"Aiza is a hit-woman, hired by the worlds most elite criminals, but she is requested to do a job that she refuses to do and is ultimately set-up by the one person she least expected it from. That's when everything falls apart.",15m
Il vizio,Evis Nako,No info,Evis Nako,,24m
The Last Mission,Jaro Jääskeläinen,No info,Jaro Jääskeläinen,"The sins of the past return to haunt the man's life as his girlfriend is suddenly taken away in the middle of a beautiful summer day. As the life of the woman he loves is at stake, the man has no other choice but to return - for one last time - to his former employer's service. (a.k.a. The Last Mission: REDAX)",28m
Mc Mullin PD,James Bradford Huston,No info,"Patrick Dunne, Andres Evora, David Fong",A cop avenges his murdered partner and avoids death by killing death.,8m
Juara,Charles Gozali,7.7,"Thjai Edwin, Charles Gozali, Hilman Hariwijaya","Bisma, a teenager with natural martial arts talent, has a crush on Bella, a girl at his college. But her boyfriend, Attar, always annoys Bhishma, until a mysterious man trains him to fight back.",1h 46m
A Guy Walks Into a Bar,No info,No info,"Thjai Edwin, Charles Gozali, Hilman Hariwijaya",,No info
Shootout,Shailesh Leuva,No info,Shain Leuva,,No info
Nikki,Michael Peristeris,No info,Michael Peristeris,A desperate man who is in need of quick cash in order to help pay for his sister's medical bills takes an illegal chance to win the money he needs. He soon finds out that the price he will pay to get what he needs may be more than what he bargained for.,6m
Foreshadow,Julien TurnerJusten Turner,No info,Julien Turner,"After witnessing the shooting of a loved one on the streets, a young African-American vigilante is born.",17m
Once a Soja: Agubiri the Gateman,Nabwana I.G.G.,No info,Nabwana I.G.G.,,1h 4m
Kapitano,Nabwana I.G.G.,8.2,Nabwana I.G.G.,,1h 32m
The Ivory Trap: Akanawuusu,Nabwana I.G.G.,8.8,Nabwana I.G.G.,Solider Allan is forced to destroy a forest in order so save his family. He then try's to bring the people responsible for his family's capture to justice.,1h 19m
Osu 2,Vlad Rimburg,No info,Vlad Rimburg,,No info
Xue zhan Tong Luo Wan,Jiajun ChenHaobo Zhang,No info,"Jimmy Au, Norman Chu, Meiying Du",,1h 4m
Xue zhan Tong Luo Wan 2,Bowie Lau,No info,"Lap-Keung Shum, Yuenian Su",,No info
Ora,Ariel Otero,No info,Alecs Garxia,,No info
Akoran,Dinesh Ravi,No info,Dinesh,,2h 28m
The Worst Batman Fanfilm Ever... Period,No info,5.9,Dinesh,"Mr. Freeze, (Not Exactly) Batman and CIA collide in a plotless spoof of a fan film.",3m
Naptown Vice,Radomir JordanovicJacob Riehle,No info,Jacob Riehle,"Two detectives will stop at nothing to get their hands on 400 kilos of coke after their supply is challenged by a vice department investigation. They work with the local enforcer, the national importer, and the international dealer while evading their fellow officers.",30m
Laissez les Bons Temps Rouler,Mykel Shannon Jenkins,No info,Mykel Shannon Jenkins,Tormented CIA agent is lured back by his partner to try to put an end to a child trafficking ring.,No info
Warcraft: The Beginning,Duncan Jones,6.7,"Charles Leavitt, Duncan Jones","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",2h 3m
Maximum Ride,Jay Martin,3.6,"James Patterson, Angelique Hanus, Jesse Spears",A flock of winged children mount a rescue plan when wolf-boys abduct their youngest member and return her to the militarized institution that created them all.,1h 28m
The Legend of Tarzan,David Yates,6.2,"Adam Cozad, Craig Brewer, Edgar Rice Burroughs","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",1h 50m
The Young Messiah,Cyrus Nowrasteh,5.7,"Betsy Giffen Nowrasteh, Cyrus Nowrasteh, Anne Rice","Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",1h 51m
"Panspermia, la semilla del todo",No info,No info,"Betsy Giffen Nowrasteh, Cyrus Nowrasteh, Anne Rice",,7m
Unfriended,Rec Revan,No info,"Mehdi Aliyev, Namiq Aslanov",,4m
En El Valle De Gigantes,No info,No info,"Mehdi Aliyev, Namiq Aslanov",,16m
88A-12,Zuri Shafer,No info,Mike Dominguez,Ellie reflects on a difficult decision she made as she embarks on a journey to save mankind.,8m
Mother Knows Best,Eric Warwaruk,No info,Eric Warwaruk,"A mother and daughter with a mysterious past live a gypsy vagrant lifestyle. The daughter dreams of a different, normal life with a new boyfriend. After the daughter is jilted, the mother appeals to a higher power for revenge.",7m
Number 6,No info,No info,Eric Warwaruk,Family is a link to our past and a bridge to our future.,7m
Au bord du gouffre,Simon Doutreleau,No info,Simon Doutreleau,"As the Spanish flu contamines Europe, a young boy fight to survive. Surrounded by his parents and his doctor, he fell in very deep sleep made of painful and nostalgic memories.",No info
When I Was Born,No info,No info,Simon Doutreleau,,3m
E-mocion,Nut,No info,"Ana Buján, Nut, Letizzia Pedroche","""Feeling and Movement unite us with bonds that make us share and create new Universes.""",6m
Ling Hun Zhi Zha Dian,No info,No info,"Ana Buján, Nut, Letizzia Pedroche",,1h 5m
Ee Shruthi Lo,U.V. Eranna,No info,"Chakradhar Dittakavi, U.V. Eranna, Venkatesh Kanupuru",,No info
Aquarius,Timofey Zhalnin,No info,Timofey Zhalnin,,9m
Trollie: The Great Rescue,Gert Embrechts,5.8,Pieter Bart Korthuis,,1h 23m
Standing on Enceladus,No info,No info,No info,,2m
Hollow Earth: The Book of Beasts,Edward Tracey,No info,Edward Tracey,The conclusion of the Hollow Earth trilogy! Will Matt and Emily save the world and finally defeat Damien?,No info
The Water Fairy,Cecilio Martinez,No info,Cecilio Martinez,,No info
"Paista, paista, päivänen!",Priit Karm,No info,No info,"The Son of Wind blows a handful of flour off a peasant's palm. The old man then asks the Wind for the flour back. The Wind gifts the man with a goat, a table and wit. Now the old man and the old woman may live a happy life.",34m
The M Riders: Finding Pangu,Liang Zhao,No info,"Mei-Shan Chen, E. Lisa, Yi-Ching Peng",,1h 35m
Le banquet des hommes illustres,Philippe BarbenesOlivier Brunet,No info,"Philippe Barbenes, Olivier Brunet","During this improbable meal Voltaire replies to Churchill and Rabelais to Thomas Jefferson, Colette squares up against Napoleon - and all with a wine-loving, bon vivant master of ceremonies in the shape of French actor Pierre Arditi.",10m
Despedidores,Ibon Goiko,No info,Ibon Goiko,"Two men, crushed by the system, dream of destroying it.",8m
Living In A Lighthouse,No info,No info,Ibon Goiko,,No info
Tick Tick Tick,Yuan Shing Kong,No info,Yuan Shing Kong,"Grace received a mysterious box from a college friend whom she knew years ago and discovered that the box gave out a ticking sound. Together with her brother, Jason, they try to figure out the box.",7m
Hélène,No info,No info,Yuan Shing Kong,,52m
Cell,Tod Williams,4.4,"Stephen King, Adam Alleca","When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England.",1h 38m
Travis,David BlairAdam Pitman,3.7,"David Blair, Adam Pitman, Adam Stilwell","One year after seven local students are inexplicably murdered at a lake house party near the Canadian border, recent high school grads Travis and his buddy Nate plan a celebratory road trip to Canada. While cutting through the woods at night, the two friends are savagely attacked by mysterious creatures and Nate is dragged off leaving Travis- to run for help. After Tr... Read all",1h 38m
The Bystander,EJ Levy,8.2,EJ Levy,"Tired of being harassed and bullied at school, a disturbed teenager sets his sights on the very people who caused him the pain and grief he experiences on a daily basis, by brutally murdering them one by one. It is up to one person to stop this storm of terror, and to save his friends along the way.",10m
Cynical Annihilation: Pandora's Box,Aaron Mak,No info,"Aaron Mak, Josh Mak","A girl finds herself stalked by a mysterious and nightmarish figure. As she attempts to escape it, she finds herself stuck in a loop that she can't escape out of.",2m
Damned Gold,Tsogiin Khuselbaatar,No info,Tsogiin Khuselbaatar,Khuder must navigate the worlds of organized crime and the supernatural after escaping from a mental institution.,1h 26m
Felak,No info,No info,Tsogiin Khuselbaatar,,1h 9m
House Warming Gift,Moses Bernal,No info,Jordan Stelck,,No info
The Apparition,Dalei Guo,No info,"Susan Dewey, Dalei Guo, Xiong Jianan",,1h 32m
Wan ming ju zu,Dewei Li,No info,Dewei Li,,1h 29m
From Inside,No info,No info,Dewei Li,,4m
The Pursuer,No info,No info,Dewei Li,,No info
Behind,Elias Homsi,No info,Elias Homsi,,17m
First Day at Work,Alex Furnas,No info,Alex Furnas,Tim's new job gets off to a rocky start.,9m
Hantu Cantik Kok Ngompol,No info,No info,Alex Furnas,,No info
New Rug,Tim Schauer,No info,Tim Schauer,,No info
No info,No info,No info,No info,No info,No info
Wu ye xun fang lu,Tianrong Liu,No info,Tianrong Liu,"TV reporter Xiao Guang and his companions Fang Hong and Xiao Bin head to a mountain village to interview its inhabitants, but something creepy happens to them there.",1h 50m
The Haunted Ambulance,No info,No info,Tianrong Liu,,4m
Daddy Red Face,Zane Hampton,No info,Zane Hampton,On a dark night in October a responding Police Officer arrives on a strange crime scene with the tell tale signs of a dangerous criminal gone insane.,3m
Bat Country,Zane Hampton,No info,Zane Hampton,"In a world where monsters have completely replaced humans, a lone vampire goes out for a drive. Fueled by blood energy drinks and cigarettes he flies down a dark road and hits a walking zombie. Conflicted with owning up to a serious zombie rights violation, he has to choose whether to take his punishment for this crime by turning himself in - or do something even more... Read all",3m
An Apple a Day,Evan Snyder,No info,Evan Snyder,Ezra helps his cousin Tom achieve his dream of becoming a world-class poet.,6m
Kauneusleikkaus,Eetu Pennanen,No info,Eetu Pennanen,A twisted killer wears the faces of her victims in a desperate search for outer beauty.,6m
Toc Toc,No info,No info,Eetu Pennanen,,No info
Riktha,Amruth Kumar,5.2,"Vagdevi Advika, Madesh Neenasam, Ramya Varshini",The ghost of a young boy sees an actress who resembles the girl he was in love with. Will the girl realise his presence around her?,1h 51m
Gui ding can,Samm Chan,No info,Samm Chan,,1h 13m
Prey,Patrick Rozenfeld,No info,Patrick Rozenfeld,"A Serial Killer hunts after prostitutes, not knowing that one of his victims has a terrifying secret.",No info
Hauntsville,K.C. AmosDale Stelly,6.4,"K.C. Amos, Dale Stelly",Hauntsville is a horror film about a husband and his family moving across the mid-west into a decent priced home to start a new job. The real estate agent did not inform the family on the past gruesome history of the home. The past residents unfortunately have been murdered inside the home and their spirits still lurks the premises long after their demise. The ghosts ... Read all,No info
The Belko Experiment,Greg McLean,6.2,James Gunn,"In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogotá, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",1h 29m
Pulse,Ayda Kani,No info,Kaveh Ahangar,,No info
Pequeña Lilith,Gerardo Leos Soria,No info,"Bernardo Govea, Gerardo Leos Soria, Iker Compeán Leroux",,17m
Pumpkin Spice,Brennan Gassek,No info,Joshua Patrick Dudley,,No info
Preacher's Little Secret,Denny Shoopman,No info,Rod Smith,,No info
Silent Paint,No info,No info,Rod Smith,,7m
Activitate Paranormala in Europa de Est,Florin Calin,No info,"Flavius Iordaiche, Raul Hamza, Florin Calin","Silviu and Alexandra want to spent their summer holidays away from the big city, in their favorite personal family cabin. The last thing they suspect is having someone watching them during their usual night sleep.",1h 30m
The Yearning,A.P. Boland,No info,"A.P. Boland, Michael Greene",,4m
Return to Madison County,Jason Jenkins,No info,Jason Jenkins,,10m
Tonight You Die,No info,No info,Jason Jenkins,,No info
Jenny,Joko Anwar,6.6,Asmara Abigail,A woman gets challenged from a child to play Bloody Mary.,10m
Rooh,Rahul Chakraborty,No info,Navneet Verma,Is it really safe to sit alone in the office?,No info
Peeche Kaun Hai,Rahul Chakraborty,No info,Navneet Verma,Sometimes it is better if you do not answer a computer.,No info
Agwa,No info,No info,No info,"Few things never get over. This time, Revenge has a new face and it is scary.",No info
Pankaj,Rahul Chakraborty,No info,"Zubin Arora, Navneet Verma",Do not try to help the one who is not one of us.,No info
Covey Hill,Maxim Lecompte,No info,Maxim Lecompte,"Paul, a citizen of a suburban town, is tracking down a serial killer who terrorized his community for months.",8m
Axed (Halloween Horror),Todd Larson,7.9,Todd Larson,"Victor Le Duesbahge, a young and accomplished chef out of Cordon Bleu, meets two unlikely contestants in the battle for a grand prize of $10,000.",17m
Sakrifice,Raffaele Picchio,No info,"Lorenzo Paviano, Raffaele Picchio, Alessandro Testa",,No info
Serial,No info,No info,"Lorenzo Paviano, Raffaele Picchio, Alessandro Testa",,No info
Derelict,Leonard Nicholas Ruiz,No info,Leonard Nicholas Ruiz,,No info
16 Fight Against Ragging,Lagdhirsinh Jadeja,No info,Jaydeepsinh V Zala,The story focuses on the issue of ragging carried out by seniors during college life and the after-effects of ragging.,2h 20m
The Noise,No info,No info,Jaydeepsinh V Zala,,No info
The GSZ Guide to Surviving the Zombie Plague,George Bonilla,No info,George Bonilla,,1h 13m
