Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Yohan Doto,No info,No info,Reparto,No info
Clayne Crawford,20 de abril de 1978,6 premios y 8 nominaciones,"Reparto, Producción, Dirección","Un paseo para recordar, Arma letal, El perfecto anfitrión"
Jen Nikolaisen,No info,No info,"Reparto, Producción","Mujercitas, Un plan irresistible, Navy: Investigación criminal"
Alex Bodine,No info,No info,"Especialistas, Reparto, Equipos adicionales","El paraíso perdido, Permanent Press, Masterpiece"
Julia Crytser,No info,No info,"Cámara y electricidad, Reparto, Edición","Midnight Runner, When We Were Young, Chester"
Jesse Perry,No info,No info,Reparto,No info
Faranak Moradi,No info,17 premios y 3 nominaciones,"Dirección, Reparto, Guion","M Like Mobius, Mirror, I zohreh"
Vico Escorcia,14 de junio de 1996,1 premio y 3 nominaciones,Reparto,"Los crímenes de Mar del Norte, Eddie Reynolds y Los Ángeles de Acero, Firma aquí"
Jacob Vargas,18 de agosto de 1971,4 premios y 8 nominaciones,"Reparto, Producción","Sr. Iglesias, Hijos de la anarquía, Traffic"
Joseph Gordon-Levitt,17 de febrero de 1981,26 premios y 76 nominaciones en total,"Reparto, Producción, Guion","Origen, Looper, Don Jon"
Alfredo J. Ruiz,No info,No info,Reparto,No info
Reid Suttles,No info,No info,"Reparto, Dirección, Dirección de fotografía y cámara","Perfect Timing, The Cherry Orchard, Dead Weight"
Sophie Leonard,No info,No info,Reparto,"Platónico, Fantasy Island, Alex/October"
Charlotte Hensley,No info,No info,Reparto,No info
Dolores Heredia,6 de octubre de 1966,3 premios y 8 nominaciones,"Reparto, Banda sonora","En el punto de mira, Santitos, Vacaciones en el infierno"
Kristyan Ferrer,14 de febrero de 1995,5 premios y 4 nominaciones,"Reparto, Banda sonora","Sin nombre, Good Day, Ramon, 600 Millas"
Juan Pablo de Santiago,No info,3 nominaciones,"Reparto, Dirección de la segunda unidad o asistencia a dirección","Voy a explotar, Sueño en otro idioma, Luna negra"
Jacob Betts,No info,No info,"Reparto, Dirección, Guion","TorchQuest, Brotherly Lies, Ominous Thrill"
Olive Jane Lorraine,No info,No info,"Reparto, Guion, Dirección","Jelly, Day by Day, Honey"
Safe Bashir,No info,No info,Reparto,No info
Alex Bidal Charles,No info,No info,Reparto,No info
West Patawa Charles,No info,No info,Reparto,No info
Christopher Howe,No info,No info,Reparto,No info
Drew Kutnick,No info,No info,Reparto,"Alive: A New Life Program, The Vixen of Vengeance, Alive 2: Immoral Choices"
Brian Nelson Jr.,No info,2 premios y 1 nominación,"Reparto, Dirección, Guion","Marbles, The Talented Tenth, Chicago P.D."
Ailbhe Cowley,No info,No info,Reparto,"Vikingos: Valhalla, Flora y su hijo Max, Barber"
Alex Deegan,No info,1 premio y 2 nominaciones,Reparto,"First Disco, Flora y su hijo Max, The Sniper's Daughter"
Tony Doyle,No info,1 nominación,"Reparto, Dirección, Guion","Sing Street, Guard Up, Match"
Darbha Appaji Ambarisha,No info,No info,Reparto,"Karthikeya 2, K.G.F: Chapter 2, Radhe Shyam"
Prasad Chandekar,No info,No info,Reparto,No info
Mahesh Pawan,No info,No info,Reparto,No info
Daniel Curalli,No info,No info,Reparto,"Newsman, Forget Me Not, Loading Dock"
Wynn Siu,No info,No info,Reparto,"Motherboard, Bunny Man, Snatch Me Good"
Emilie Aldersjøen,No info,No info,Reparto,No info
Aleksander Sylvan,No info,No info,"Reparto, Producción","Oculi - Det eneste vitnet, Utdrikningslaget, Flus"
Christoffer Nilsson,No info,No info,"Reparto, Equipos adicionales","Thomas mot Thomas (en sensasjonell teori om det ubetydelige livet i multiverset), Raspberry1508, Oculi - Det eneste vitnet"
Andrew Martin,No info,1 nominación,Reparto,"The Incredible 25th Year of Mitzi Bearclaw, The Fields of Dying Rabbits, Fire Song"
Kristen Martin,No info,No info,Reparto,No info
Azdin Zaman,No info,No info,"Reparto, Equipos adicionales","Utopia Falls, Orphan Black, Bella y bestia"
Markos Renieris,No info,No info,"Reparto, Banda sonora",No info
Robin Antoinette,No info,No info,Reparto,"EnVz Studios: When He Changed My Name, Ashes That Swarm, Halloween Kickback"
Kingston Beacham,No info,No info,Reparto,No info
Kimberly Brooks,No info,No info,No info,No info
Barun Chanda,30 de mayo de 1945,No info,"Reparto, Casting","El vuelo de los ladrones, Chorabali, Lootera"
Dipanwita,No info,No info,Reparto,"Maa Amar Maa, Rupkothar Kahini, Sanjher Baati"
Diana Danielle,No info,1 premio y 4 nominaciones,Reparto,"Sembunyi: Amukan Azazil, Hanyut, Imaginur"
Nur Fazura,No info,1 premio y 5 nominaciones,"Reparto, Banda sonora","Manisnya Cinta di Cappadocia, Gol & Gincu, Kami Histeria"
Nicholas Teo,No info,1 nominación,"Reparto, Banda sonora","Wu Di Shan Bao Mei, A Thousand Goodnights, Rhapsody in Blue"
Luke Dorsey,No info,No info,Reparto,"Young Grandpa, Lucid, Heard"
Tosin Buraimoh,No info,No info,Reparto,No info
Tina Chukwura,No info,No info,"Reparto, Producción, Guion","Desecrated, Saboa, Father of Today"
O'Femi Familoye,No info,No info,"Edición, Dirección, Dirección de fotografía y cámara","What If?, Love Is Enough, Dear Sister"
Jacob Anderton,No info,4 premios y 4 nominaciones,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Lore, Give Them Wings, The Pay Day"
Rosie Dunjay,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Guion","Skin is Waterproof, Circle of Shadows, Call Me Back"
Alexander Geil,6 de noviembre de 2003,No info,"Reparto, Edición, Dirección","Tranquility - An Independent Film, Tranquility: Ghost Stories, The Black Horse - A Post Apocalyptic Short"
Gabriel Arricelli,No info,No info,Reparto,No info
Alexis Bauer,No info,No info,Reparto,No info
Laetitia Bauer,No info,No info,Reparto,No info
Sharayu Mahale,No info,9 premios y 5 nominaciones,"Reparto, Producción, Arte","Attaway General, Unmothered, Severance"
Braxton Michael,No info,1 premio,"Reparto, Dirección","Swamp, The Comedy News Hour, Oh Brother Felch Films"
Hellene Alabi-Williams,No info,2 nominaciones,"Reparto, Guion, Dirección",No info
Neils Williams,No info,1 premio y 2 nominaciones,"Guion, Edición, Producción",No info
Sagirah Young,No info,No info,Reparto,"African Twist, Stay, Pimpstress"
Joshua Haynes,No info,1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección","M.I.High, The Last Day Residing in Flat 2/2, The Film-Maker's Son"
Saul Davidson,No info,No info,Reparto,"Floored, UFO, Shed"
Cameron Christie,No info,No info,"Dirección, Reparto, Guion",No info
Victor Neri,No info,2 premios y 4 nominaciones,"Reparto, Banda sonora","A Short History of a Few Bad Things, Filipinas, BuyBust"
Jay Gonzaga,No info,1 nominación,"Reparto, Cámara y electricidad","Huling palabas, Ang probinsyano, Sakaling hindi makarating"
Publio Briones III,No info,1 premio y 6 nominaciones,"Reparto, Banda sonora","Confessional, A Short History of a Few Bad Things, Wanted: Border"
Adesola A. Osakalumi,No info,1 nominación,"Reparto, Equipos adicionales","Marido por sorpresa, Across the Universe, Escuela de rock"
Mark Cayne,No info,No info,Reparto,"FBI: Most Wanted, Herida, Ley y orden: Unidad de Víctimas Especiales"
Okanjobi Osakalumi,No info,No info,Reparto,No info
Alice Howell,No info,No info,"Reparto, Guion, Dirección","Crazy Fun Park (Serie de TV), Gente de barrio, Critical"
Jeffery Richards,No info,2 nominaciones,"Reparto, Edición, Producción","Devils Elbow, Bluebird, Blue Heelers"
Paloma Mariscal,No info,No info,"Reparto, Producción","Tu sigue que ya veras, Coulda, Woulda, Shoulda, Nervios de boda"
Paloma Mariscal,No info,No info,Reparto,"Territory, Rock Band vs Vampires, Flipante Noa!"
Juan Burgaleta,No info,No info,Reparto,"El Ministerio del Tiempo, Un cuerpo en venta, Cross the Line"
Caitlin Herst,No info,No info,"Reparto, Equipos adicionales","Just the Vampire Hunter, Vengeance at Yellow Creek, Beta"
L'Metrius Long,No info,No info,Reparto,No info
Kôta Fuji,No info,No info,"Reparto, Producción","Sakura, 125 Years Memory, The Drifting Post"
Miki Kamioka,No info,No info,Reparto,"Riaru: Kanzen naru kubinagaryû no hi, Naratâju, Joshi no jiken wa taitei toilet de okorunoda Part 1"
Daisuke Nagakura,No info,No info,Reparto,"Big Man Japan, Gachiban Worst Max, Urutoraman Tiga"
Tommy Dysart,24 de diciembre de 1935,No info,Reparto,"El hombre de Río Nevado, Prisoner, Contra el viento"
Seann William Scott,3 de octubre de 1976,5 premios y 8 nominaciones,"Reparto, Producción, Guion","American Pie, American Pie: ¡Menuda boda!, American Pie 2"
Clifton Collins Jr.,16 de junio de 1970,9 premios y 14 nominaciones en total,"Reparto, Producción, Dirección","Star Trek, Truman Capote, Traffic"
Steve Lemme,13 de noviembre de 1968,No info,"Producción, Guion, Reparto","Supermaderos, Club Desmadre, La fiesta de la cerveza: ¡Bebe hasta reventar!"
Louis-Philippe Desjardins,No info,No info,Reparto,"Chaos au camping!, Spice, Spice du Jour - Rencontre avec Nathan Bright B.C"
Simon Blachette,No info,No info,Reparto,No info
Harry Duff-Walker,No info,No info,Reparto,"The Mind's Eye, Concrete Pillow, The Man in the Suit"
Faustine Ghislain,No info,No info,Reparto,"The Mind's Eye, Captive, Dark Room"
Harrison Kendall,No info,No info,"Reparto, Dirección, Guion",No info
Vlad-Paul Ghilas,No info,No info,"Producción, Equipos adicionales, Dirección","Your Reality, Young, Young Men, Werewolf Santa"
Masashi Kawamata,No info,1 nominación,"Reparto, Guion, Dirección","Hibana no kioku, Error, Out"
Rosario Pardo,No info,5 premios y 4 nominaciones,"Reparto, Dirección, Guion","Cuéntame cómo pasó, Un billete a Nunca Jamás, Hubo un lugar"
Antonio Valero,24 de agosto de 1955,2 premios y 2 nominaciones,Reparto,"La forja de un rebelde, El color de las nubes, El hombre nervioso"
Stacey Bernstein,No info,No info,"Reparto, Dirección, Guion","Soul Connections, Wake-Up Call, The Audition"
Martina Biskupovic,No info,No info,Reparto,"Rattlesnake Point, Stalkers, Ghost Unicorn"
Jhony Elchoufani,No info,No info,Reparto,No info
Barbara-Audrey Bergeron,No info,No info,"Reparto, Guion, Localización","Monster Hunters, House of Britney, A Piece of Me"
Lena Burmenko,No info,15 premios y 18 nominaciones,"Reparto, Producción, Guion","Marked, Man of the Year: A Chester Sky, Exorcism"
John Krissilas,No info,21 premios y 19 nominaciones,"Producción, Dirección, Reparto","Marked, Man of the Year: A Chester Sky, Mulberry Lane"
Missy Cross,No info,1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Guion y continuidad","She Who Must Burn, White Raven, El juego de los extraños"
Emma Jean Forth,No info,No info,Reparto,No info
Scott Keith,No info,No info,"Reparto, Dirección de fotografía y cámara","The Big Pop, Going Places, Digging for Shovels"
Heather Bowry,No info,No info,"Reparto, Dirección, Producción","Going Places, Wisp, The Big Pop"
Charles Donnelly,No info,No info,Reparto,"The Clan, Taggart, Jessie and the Elf Boy"
Iona,No info,No info,"Reparto, Equipos adicionales","Ra, Yagai play: Nozoki no nureba, Use the Eyeballs!"
Kôhei Nagano,No info,No info,Reparto,"Tsuyogari caponata, Bra to panty: Hentai ga ippai, Zetsurin tantei DX: Ai to in'yoku no baibu"
Ruby Nakamura,No info,No info,Reparto,"Gôsuto sukuwaddo, Onsen shikabane geisha, Disgraced Heaven"
Jessica Munna,No info,1 premio,"Reparto, Edición, Dirección","Guest, Democracy At Its Finest, Chin Up!"
Ariell Fletcher,No info,No info,Reparto,No info
Mitchell Hatter,No info,No info,"Reparto, Producción, Equipos adicionales","The Pseudo Shanghai, The Ugly Rug, Pool"
Chris Muckey,No info,No info,Reparto,"The Salience Project, Gufors, Book of Choices"
Joey Burke,No info,No info,"Reparto, Dirección, Guion","Artificial Intelligence, A Child's Voice, Stolen"
Jasmin Ottenburg,No info,No info,Reparto,"Judwaa 2, Jab Harry Met Sejal, Balakrishnudu"
Jacob Thomas,No info,No info,"Reparto, Producción, Guion","Bonnie and Clyde, The Wolf of Guacotle, Artificial Intelligence"
Kimmie Companik-Warner,No info,No info,Reparto,No info
Will Ferris,No info,No info,Reparto,No info
Eric Fretty,No info,No info,"Cámara y electricidad, Reparto, Producción","Justice Mathers, I'm Not a Screw Up, Mark Normand: Soup to Nuts"
Paul Carpenter,No info,No info,"Reparto, Dirección de producción","The Division: Agent Origins, Adindu, The Stanley Parable"
Claire Epting,No info,No info,"Reparto, Diseño de vestuario","The Lunch Box, The Everything Now Show, Alliances"
Kate McIntyre,No info,1 nominación,"Reparto, Guion, Dirección","Life's a Banquet - Let's Eat, City of Trees, Memio"
Jason Korfiatis,No info,No info,"Reparto, Dirección","Maybe This Time, Jack in the Box, Bank Robbery Student Film"
George Pana,No info,No info,Reparto,"The Dealer, Jack in the Box, Kill All My Friends"
Michael Pendrigh,No info,No info,Reparto,"Why Me?, You're It, Man of the Sesh"
Yaroslav Kozak,No info,1 nominación,"Reparto, Producción, Vestuario","Vedro, Komunalne, Nos"
Kirill Mieliekiestsev,No info,No info,"Reparto, Guion, Producción","Vedro, Fufay: A Tragic Story, In Case You Were Wondering on Which OS Most ATM's Work"
Ilya Sinelnikov,No info,No info,"Reparto, Arte, Vestuario","Errors in Geography: Geodesy - Irpen Inspires 2B Creative, Komunalne, The Worst Batman Fanfilm Ever... Period"
Amber Anderson,5 de marzo de 1992,1 premio,"Reparto, Producción, Banda sonora","Caballeros, princesas y otras bestias, Emma., White Lie"
Jon Digby,No info,1 premio,"Reparto, Guion, Dirección","We Are Lady Parts, Britannia, 9862"
Nathan Harmer,No info,No info,Reparto,"Kombat Opera Presents, Sherlock, Shakespeare & Hathaway: investigadores privados"
Drew Connick,No info,1 premio y 1 nominación,"Reparto, Guion, Dirección de arte","Teddy, Out of Tune, Blue, Candy Mountain"
Samuel Ely,No info,No info,"Guion, Localización, Cámara y electricidad","The Very Exciting Large Budget Adventures of Johnny the Black Lego, The Trail, The Love Story of Kosher"
Cade Young,No info,No info,Reparto,No info
Rebecca Fitch,No info,No info,Reparto,No info
Jon Escobar,No info,No info,"Dirección, Guion, Reparto","Red Cloth, Jonny's Cooking Garage, Musical Junkie"
Kathy Karagounis,No info,No info,"Reparto, Diseño de vestuario",No info
Chris Blanchard,No info,No info,Reparto,No info
Austin Parks,No info,No info,Reparto,"Ecstasy: Teaser Trailer, Second Chances, Around the Corner"
Madison White,No info,No info,Reparto,"TMI Hollywood, Irrational, Tried and True"
Matthew Griffin,No info,No info,Reparto,No info
Jesse Lamar High,No info,2 premios y 6 nominaciones,"Dirección, Guion, Edición","The Shins: Half a Million, Lushlife: Magnolia, I (Don't) Love U"
Metta World Peace,13 de noviembre de 1979,No info,"Reparto, Producción, Guion","En qué piensan los hombres, Waking, 5th Down"
Zeynep Aydin,No info,No info,Reparto,No info
Naz Yilmaz,No info,No info,Reparto,No info
Yannick Dietze,No info,No info,Reparto,No info
Alex Wood,No info,3 premios,Reparto,"Drinking the Red Soda, Blank Frank, Jeremiah's Woods"
J. Gabriel Wagner,No info,3 premios,"Reparto, Dirección de la segunda unidad o asistencia a dirección","Drinking the Red Soda, Blank Frank, American Licorice"
Joe Zumba,No info,4 premios,"Reparto, Guion, Dirección","SirCooly's Dank Trip, Drinking the Red Soda, Three Calls"
Isaac Domingos,No info,No info,Reparto,"Animales fantásticos: Los crímenes de Grindelwald, El crimen es lo suyo, Au Revoir Paris"
Ethan Poaty,No info,No info,Reparto,No info
Kevin Yee,No info,1 premio y 1 nominación,"Reparto, Guion, Dirección","Dickinson, Comedy Invasian, About A Short Film"
Rob Keller,No info,1 premio y 1 nominación,"Reparto, Producción, Guion","Bella y bestia, The Job Interview, What Is Comedy?"
Dean David,No info,No info,Reparto,"Experimenter: la historia de Stanley Milgram, McGregor's Medal, Breathless"
Robert di Scipio,No info,No info,"Reparto, Equipos adicionales","Rock of Ages. La era del Rock, Doc Plague & The Truth Fairy, All God's Children"
Joseph Holmes,No info,No info,"Producción, Guion, Dirección","Matchbreakers, Happy Never After, How to Make Your Passion Project"
Guilherme Chelucci,No info,No info,Reparto,"Haja Coração, Marcas da Vida, Sede de Furia"
Jefferson Mascarenhas,No info,No info,Reparto,No info
Gianmarco Soresi,No info,3 nominaciones,"Reparto, Guion, Producción","Aquí y ahora, Estafadoras de Wall Street, Gianmarco Soresi: Shelf Life"
Lindsay-Elizabeth Hand,No info,1 premio y 3 nominaciones,"Producción, Reparto, Guion","Riding the D with Dr. Seeds: The Webseries, Fault, Gianmarco Soresi: Shelf Life"
Emma Ramos,No info,1 nominación,"Reparto, Guion","New Amsterdam, In the Summers, The Endgame"
Andrea Kfoury,No info,1 premio,"Reparto, Dirección, Producción","Caught Up in the Clouds, Palmetto Pointe, Deleted"
Dean Denham,No info,No info,Reparto,No info
Lucas Hayes,No info,No info,Reparto,"Everything in Between, Lenny In Love, BBQ At High Noon"
Victoria Mantynen,No info,No info,Reparto,"Fateless, Next: Ride the Wave, Next"
Edixon Caridad,No info,1 premio,"Reparto, Dirección, Guion","Todos mis hijos, Texican, All We Know"
Mariana Lilla,No info,No info,"Reparto, Guion, Edición","Cotufas con Limón, Princesa, não, All We Know"
Jeeva,30 de noviembre de 1952,No info,Reparto,"Rangasthalam, Sarkar, Satya"
Krishnudu,No info,No info,"Reparto, Producción","Yeto Vellipoyindhi Manasu, My Boyfriend's Girlfriend, Ye Maaya Chesave"
Sapthagiri,1 de mayo de 1989,1 premio y 3 nominaciones,"Reparto, Dirección de la segunda unidad o asistencia a dirección","Express Raja, Salaar. Part 1 - Ceasefire, Prema Katha Chitram"
Virgil M. Apostol,No info,No info,"Reparto, Arte, Especialistas","Borrowed Vengeance, Hunter: Vampire Killer - The Pitch, Two Nations"
Steven Briggs,No info,No info,"Reparto, Guion, Producción","Larry David (Curb Your Enthusiasm), Creedme, Laff Mobb's Laff Tracks"
Jeffrey John Carisalez,No info,No info,"Reparto, Equipos adicionales","Green Zone: Distrito protegido, Treme, Generation Kill"
Alex Amaral,No info,1 premio,"Reparto, Dirección de casting, Producción","La fría luz del día, Pirilampos, Nódoas"
Mauri de Castro,No info,No info,"Reparto, Dirección de casting","No Coração dos Deuses, Índia, a Filha do Sol, Césio 137 - O Pesadelo de Goiânia"
Hugo Faz,No info,No info,"Reparto, Dirección, Guion","Isolatta, A Filosofia na Alcova, Coxinha II"
Geoffrey Giuliano,11 de septiembre de 1958,No info,"Reparto, Guion, Producción","El juego del calamar, Península, Mechanic: Resurrection"
Jonathan Edmunds,No info,No info,Reparto,No info
Corinna Jane,No info,No info,"Reparto, Equipos adicionales, Dirección","The Shadow of Death, Tape 3, Eric Offline"
Ed Pond,No info,No info,Reparto,"Eric Offline, Takeover, Things I Have to Say"
Pilar Tordera,No info,No info,Reparto,"Verano No Miente, Turno de oficio, Teresa de Jesús"
Juan Carlos Rey de Castro,No info,No info,Reparto,"Solo una madre, Señores Papis, Al fondo hay sitio"
Pamela Sánchez,No info,No info,Reparto,No info
Khalid Al Nuaimi,No info,No info,Reparto,"Grandmother's Farm Part 2, Ghost, Grandmother's Farm"
Nasser Al-Dhahnani,No info,No info,Reparto,No info
Yaser Al-Neyadi,No info,No info,"Reparto, Dirección, Guion","Watermelon Club, Kaimrah, Grandmother's Farm"
Carlisle Forrester,21 de noviembre de 1985,1 premio,"Reparto, Producción","Now or Never, Southern Decadence, Miss Naufragio: Desfila como puedas"
Geraldine O'Rawe,4 de marzo,No info,"Reparto, Guion, Producción","Mariette in Ecstasy, Círculo de amigos, Adoration"
Eva Marie Saint,4 de julio de 1924,12 premios y 13 nominaciones en total,"Reparto, Producción, Banda sonora","La ley del silencio, Con la muerte en los talones, Superman Returns: El regreso"
Tianliu Jiang,No info,No info,"Reparto, Guion","Taitai Wansui, Xiao baiqi de fengbo, Qianfang laixin"
Guiling Wang,No info,No info,Reparto,No info
Ming Wen,No info,No info,Reparto,No info
Edward Norton,18 de agosto de 1969,47 premios y 90 nominaciones en total,"Reparto, Producción, Guion","El club de la lucha, American History X, Las dos caras de la verdad"
Gugu Mbatha-Raw,21 de abril de 1983,10 premios y 30 nominaciones en total,"Reparto, Producción, Banda sonora","Belle, Beyond the Lights, La verdad duele"
Alec Baldwin,3 de abril de 1958,46 premios y 114 nominaciones en total,"Reparto, Producción, Música","Infiltrados, No es tan fácil, The Cooler"
Travis Fimmel,15 de julio de 1979,4 nominaciones,"Reparto, Producción","Warcraft: El origen, Vikingos, Forajidos de Baytown"
Toby Blome,No info,No info,Reparto,"Danger Close: La batalla de Long Tan, The Twelve, Jimpa"
Alexander England,No info,5 nominaciones,Reparto,"Alien: Covenant, Dioses de Egipto, Paper Giants: Magazine Wars"
Sebastian Stan,13 de agosto de 1982,2 premios y 18 nominaciones en total,"Reparto, Producción, Banda sonora","Capitán América: El Soldado de Invierno, Capitán América: Civil War, Capitán América: El primer vengador"
Alison Sudol,23 de diciembre de 1984,No info,"Reparto, Guion, Composición","Animales fantásticos y dónde encontrarlos, Animales fantásticos: Los crímenes de Grindelwald, Animales fantásticos: Los secretos de Dumbledore"
Asher Miles Fallica,No info,1 nominación,Reparto,"Tully, FBI: International, Greener Grass"
Colson Baker,22 de abril de 1990,8 premios y 12 nominaciones,"Reparto, Composición, Dirección","The Dirt, Good Mourning, Proyecto Power"
Erin Ownbey,No info,3 nominaciones,Reparto,"Ozark, Echo, Panhandle"
Douglas Booth,9 de julio de 1992,7 premios y 1 nominación,"Reparto, Guion, Producción","Orgullo + Prejuicio + Zombis, LOL, El destino de Júpiter"
Kelly Macdonald,23 de febrero de 1976,18 premios y 42 nominaciones en total,"Reparto, Banda sonora","No es país para viejos, Gosford Park, Brave (Indomable)"
