Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Garrett Hedlund,3 de septiembre de 1984,4 premios y 9 nominaciones,"Reparto, Producción, Banda sonora","Tron: Legacy, Mudbound, En el camino"
Badger,No info,No info,Reparto,No info
Gary Carr,11 de diciembre de 1986,No info,"Reparto, Banda sonora","Manhattan sin salida, Bolden, Crimen en el paraíso"
Erik LaRay Harvey,No info,1 nominación,Reparto,"Luke Cage, Twister, Boardwalk Empire"
Ian McShane,29 de septiembre de 1942,4 premios y 27 nominaciones en total,"Reparto, Producción, Dirección","Deadwood, Piratas del Caribe: En mareas misteriosas, Blancanieves y la leyenda del cazador"
Zachary Tanaka,No info,No info,Reparto,No info
Justin Smith,No info,No info,Reparto,No info
Omar Hamza,No info,No info,"Dirección, Guion, Dirección de fotografía y cámara","Gacal, Rishai, Kimya"
Darnisha Brown,No info,No info,Reparto,No info
Justin Kausal,No info,No info,Reparto,No info
Nita Chikadze,No info,2 premios y 1 nominación,Reparto,"Voiceless, Jimmy the Hall Monitor, Critical Candle"
Kendall Cato,No info,No info,Reparto,"Killer Profile, Neuroblast, Voiceless"
Kristine Sullivan,No info,No info,Reparto,"Viviendo un engaño, Voiceless, Bring Our Boy Home"
Camara Bomani,11 de mayo de 2000,No info,Reparto,"And Home We Came, Ludere, Run Away, They'll See Us"
Kayla Dixon,No info,No info,Reparto,No info
Zipporah Dorsey,No info,No info,Reparto,"My Friend, I Like War, Ludere, Drones"
Debora Zhecheva,No info,No info,"Reparto, Equipos adicionales","Reza por el diablo, Stalker: The Curse of the Zone, Kung Fury II: The Movie"
Gabriela Nakova,No info,No info,Reparto,No info
Gloria Laino,31 de diciembre,10 premios y 1 nominación,"Reparto, Guion, Dirección de casting","American Horror Story, Lo que hacemos en las sombras, Anatomía de Grey"
Brenda Banda,No info,No info,Reparto,"Gentefied, Shameless, Anatomía de Grey"
Wilson Ramirez,No info,No info,"Reparto, Guion, Producción","Hollywood Revelations, Then I'll Rest, Agentes de S.H.I.E.L.D."
Jayaram,10 de diciembre de 1964,10 premios y 4 nominaciones,"Reparto, Música, Equipos adicionales","Thuppakki, Ponniyin Selvan: Part One, Thooval Kottaram"
Sheelu Abraham,21 de agosto de 1987,No info,"Reparto, Producción","Veekam, Kanal, Al Mallu"
Ann Mahoney,24 de abril de 1976,1 premio,"Reparto, Guion, Producción","Midnight Special, La suerte de los Logan, Descubriendo el amor"
Adam Masnyk,No info,1 premio,"Reparto, Guion, Producción","Odd Men Out, La gran estafa americana, Ted 2"
Timothy P. Stanton,No info,No info,"Reparto, Producción",No info
Shabir Sheikh,No info,No info,Reparto,No info
C. Nathaniel Brown,No info,No info,"Producción, Dirección, Guion","Chi Nu Legacy, Sacrificing the Queen, Same Spot"
Thelma C. Brown,No info,No info,"Reparto, Dirección, Producción","Fatal Attraction, ATL Homicide, Detective americano, con Joe Kenda"
Deju Green,No info,No info,Reparto,No info
Jacob Daniel Groth,No info,No info,"Reparto, Equipos adicionales","Southeast Regional's Best of the Festival (shorts): Vol 1, Restored: Stories of Encounter, Pablo, el apóstol de Cristo"
George Medina,No info,No info,Reparto,"Diary ng panget, The Veil Removed, Trophy Wife"
Javier Carmona,No info,No info,Reparto,"Chicago P.D., Bloggers, Queen of Phantoms"
Tavares M. Wilson,No info,No info,"Reparto, Guion, Producción","Exit, Rules, The Man That Ran Still: A Joe Sisco Story"
Tai Anderson,No info,1 premio,"Reparto, Producción, Guion","Distorted, The 4th Quarter, Restless"
Travis Cure,No info,No info,"Reparto, Producción","The Oval, Tough Love, David Movie"
Robert LaSardo,20 de septiembre de 1963,5 premios y 2 nominaciones,"Reparto, Producción, Guion","Mula, Death Race: La carrera de la muerte, Nip/Tuck, a golpe de bisturí"
Jayvo Scott,No info,3 premios y 4 nominaciones,"Reparto, Producción, Música","Riviera, Complications, Hooligan?"
Sheryl Carbonell,No info,No info,"Reparto, Dirección, Guion","Rap Sh!t, The Greatest Ever, DOA at the PTA"
Dong Do Kim,No info,No info,Reparto,No info
Man Hee Kang,No info,No info,Reparto,No info
Soo Hyun Kim,No info,No info,Reparto,No info
Alexandera Yetman,No info,No info,"Reparto, Dirección, Guion","Along The Line, The Fifth Dimension, Contacto alienígena"
Hardie Duhaney II,No info,No info,Reparto,"Bora, Jungle Juice, Radiant"
Billy Hartmann,No info,No info,"Reparto, Guion, Producción","Peter Pan, Land of Forever, Day of a Slave, On Our Own"
Derrick Jamel Butts,No info,No info,Reparto,"Bobby Mortal, Abducted, Chadwick Manor"
Leanne Budd,No info,No info,"Reparto, Guion, Dirección","Man v wife, Hostage, The Unthinkable"
Steven Eljay,No info,No info,Reparto,"Red Army Hooligans, Roofied: A Double Dose, Hate Story IV"
Lauren Woods,No info,No info,Reparto,"Death Promise, Destination: Dewsbury, Wiccan"
Mike Anthony,No info,No info,Reparto,No info
Adrian Brigman,No info,No info,Reparto,No info
Miles Tillemans,No info,No info,Reparto,No info
Paige Awtrey,No info,1 premio,"Reparto, Maquillaje, Producción","Meeting the Parents, Justice League 2: The Shattered Paragon, The Spectacular Mind of Mackenzie Banks"
Kenadee Clark,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Dirección","What You Taught Me, Shadow of Vengeance, Chapel"
Saul Grosshuesch,No info,No info,"Reparto, Cámara y electricidad, Sonido","Ghostbusters: Open for Business, The Spectacular Mind of Mackenzie Banks, Costigan Bloch"
Marki Henderson,14 de octubre de 1978,13 premios y 13 nominaciones,"Reparto, Guion, Producción","Swagger, Fatal Attraction, ATL Homicide"
Corey Newton,No info,No info,"Reparto, Guion, Composición","Sins of Eve, Inside of Me, He's My Daddy Too"
Rita Johnson,No info,No info,Reparto,"He's My Daddy Too, Vengeance Is Mine, Under His Control"
Raul Alhena,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Producción","La Mue, El camino de Ares, Pescado crudo"
Eva María Fajas,No info,No info,Reparto,No info
Júlia Buxó,No info,No info,Reparto,No info
Catalina Danca,No info,1 premio,Reparto,No info
Gimi Covaci,No info,No info,"Reparto, Guion",No info
Arthur Vasile,No info,No info,Reparto,No info
Priya Dutta,No info,No info,Reparto,"Dakbaksho, Biporjoy, Barof 2019"
Shataf Figar,No info,No info,Reparto,"Tyler Rake, Shershaah, Gehraiyaan"
Indrani Haldar,6 de enero de 1971,4 premios,Reparto,"Dahan, Jara Brishtite Bhijechhilo, Saanjhbatir Roopkathara"
Daniel Cruz,No info,No info,"Reparto, Guion, Arte","The Endless Flight, Lyrics from a Bleeding Heart, The Deception"
Kelly Kidd,No info,No info,"Reparto, Guion","In Their Own Words, Billy the Kid & The Lincoln County War, The Reckoning, Makin' 8"
Sheila Eden,No info,No info,"Música, Maquillaje, Reparto","In Their Own Words, Billy the Kid & The Lincoln County War, The House on Normal Street, Querencia"
Tsai Chin,1 de septiembre de 1933,1 premio y 2 nominaciones,"Reparto, Música, Banda sonora","Memorias de una geisha, Shang-Chi y la leyenda de los diez anillos, Sólo se vive dos veces"
Hsiao-Yuan Ha,15 de mayo de 1981,1 nominación,Reparto,"Suan tian zhi wei, Acting Out of Love, Fan Qiang De Ji Yi"
Michael Tow,3 de septiembre,2 premios y 1 nominación,"Reparto, Producción, Guion","Sound of Metal, Lucky Grandma, The Blacklist"
Gérard Darman,No info,No info,Reparto,"Le bar de la fourche, Passage, Lumière violente"
Titouan Annabi,No info,No info,Reparto,No info
Céline Berti,No info,No info,"Reparto, Localización, Equipos adicionales","Robin Hood: Forajido, héroe, leyenda, Girls Feels: Into the Blue, L'Arc-en-ciel de Mélanie"
Oisín Murphy,No info,No info,Reparto,No info
Denise Quinn,No info,No info,Reparto,No info
Lalor Roddy,1954,2 nominaciones,Reparto,"Grabbers, Hunger, The Devil's Doorway"
LynMarie Dixon,No info,No info,Reparto,No info
Michelle Sanchez,No info,No info,"Dirección de fotografía y cámara, Edición, Dirección","Heaven, It Calls, Justice for Adam"
Wendy E. Snyder,No info,No info,Reparto,"Driven to the End, White Bliss, Heaven"
Sean Walsh,No info,No info,Reparto,"The Great American Heist, Hanging on a Telephone, Hanging on a Telephone"
Carlo Arrigoni,No info,No info,"Reparto, Dirección de producción","Story of a Luthier, Piercing Stillness, The Scrupulous Torment of the Polite Man"
Alberto Bona,No info,1 premio,"Reparto, Producción, Guion","L'Assenza, The Darkness: Jussy's Girl, Piercing Stillness"
Federico Cicardi,No info,No info,"Guion, Dirección de arte, Reparto","Piercing Stillness, The Scrupulous Torment of the Polite Man, Story of a Luthier"
Maryna Koshkina,21 de mayo de 1993,2 premios y 2 nominaciones,Reparto,"Iz zavyazanymy ochyma, Zabuti, Silence"
Vasiliy Kukharskiy,No info,No info,Reparto,"Wataha, Maksym Osa, Toloka"
Danylo Kamenskyi,27 de octubre de 2000,1 premio,Reparto,"Zabuti, Toptun, Stronghold, el gigante de piedra"
Ernesto Nodal,No info,No info,"Reparto, Equipos adicionales","Graceland, Divorce, Fallen Brother"
Sofya Nova,No info,No info,"Reparto, Equipos adicionales","Vera, Crowddating, Danny"
Kenneth Ross,No info,No info,"Reparto, Producción, Dirección","Bluefish, Block, Highpothetically"
Rubén Cristiany,No info,No info,Reparto,"El Pantera, Ladrón de Corazones, Hora marcada"
Daniela García,No info,No info,Reparto,No info
Lariza Mendizábal,No info,No info,Reparto,"Lo que la gente cuenta, Ni una vez más, La vida es una canción"
Boncuk Yilmaz,13 de mayo de 1981,1 premio y 2 nominaciones,"Reparto, Banda sonora","Karpuz Kabugundan Gemiler Yapmak, Mi otra yo, Çukur"
Benian Dönmez,No info,No info,Reparto,"Kara Bela, Aci Kahve, Three Sisters"
Sahin Ergüney,No info,No info,Reparto,"Kurtulus, Destan, Amor de contrabando"
Paulina Dávila,18 de diciembre de 1988,1 nominación,"Reparto, Producción","Que viva la música, Después De Ti, Amor es amor"
Juan Pablo Medina,22 de octubre de 1977,3 nominaciones,"Reparto, Producción","La casa de las flores, El Club de los Idealistas, Se busca papá"
Alana Grace,No info,3 premios y 2 nominaciones,"Reparto, Producción, Guion","The Strangers We Know, Uno para todas, Country Strong"
John Fairbairn,No info,1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Guion","The Strangers We Know, Bart Seven Is Offline, The Heather Files"
Rachel McGuinness,No info,1 premio,Reparto,"I Did Not Forget You, Deal Me, 09.05.57"
Mark Harley,No info,No info,"Reparto, Guion","Los juegos del resacón, Perfect Sport, Seasons of War"
Logan Laurel,No info,No info,Reparto,"The Sixth Floor, The 3rd Guest, Girl with a Deadly Past"
Annika Marks,12 de agosto,6 premios y 3 nominaciones,"Reparto, Guion, Producción","Las sesiones, Waco, Killing Eleanor"
Elvis Alexander,No info,No info,Reparto,No info
Mime Gopi,29 de junio de 1975,1 premio,Reparto,"Pushpa: The Rise - Part 1, Salaar. Part 1 - Ceasefire, Varisu"
Aindhu Kovilan,No info,No info,Reparto,No info
Eric Michael Federman,No info,3 premios,"Reparto, Sonido, Dirección","Project Elementals, Borrowed Vengeance, Stereotyped: The TV Show"
Greg Simmonds,No info,No info,"Reparto, Música, Dirección","The Donut Heist, Scarlet Samurai: Incarnation, Legend of the Red Reaper"
Marco Schiazza,No info,1 premio,"Reparto, Guion, Producción","Statute of Limitations, La oferta, To Tell the Truth"
Arron Barber-Stephens,No info,No info,"Reparto, Equipos adicionales, Dirección","The Assist, Wade's World, Chopped U"
Kara Bruntz,No info,No info,Reparto,No info
Laura Kathleen Dial,No info,No info,"Reparto, Equipos adicionales","Waiting for Reneau, Teacher's Lounge, The Writer"
Justin Hughes,No info,No info,Reparto,"What Doesn't Kill Us, The Writer, Masks"
Jay Pace,No info,No info,Reparto,"It's Stranger Than We Thought, She Was Insane, I'm a Mess"
Monica Phillips,No info,2 premios y 2 nominaciones,"Reparto, Guion, Dirección","Dr. Monsanto or: How I Learned to Stop Streaming and Love the Virus, The First Ever Virtual Sketch Show, Here for You"
Predrag Bjelac,30 de junio de 1962,1 nominación,"Reparto, Equipos adicionales, Banda sonora","Harry Potter y el cáliz de fuego, Killing Eve, Gangster Ka"
Petr Franek,No info,No info,Reparto,"Xia dao lian meng, Znamení kone, El informante"
Jana Plodková,5 de agosto de 1981,1 premio y 5 nominaciones,"Reparto, Guion, Banda sonora","Protektor, Prag, Ztraceni v Mnichove"
Rachelle Henry,16 de diciembre de 2000,7 premios y 15 nominaciones,"Reparto, Guion, Edición","La costa de los mosquitos, Dead to Me, Gaslit"
Ronee Collins,No info,No info,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Kola, Highlander: Hans Kirschner, Old Man Jackson"
Bill Read Jr.,No info,No info,"Reparto, Dirección, Guion","Winters Edge, C.A.T.S, Blood for Blood"
Mylène Amyot,No info,No info,Reparto,"S'échapper vers la Vie, Jamais trois sans toi..., BB/MA"
Pierre-François Bouffard,No info,2 premios y 2 nominaciones,"Reparto, Cámara y electricidad","Spleen, Bonne Personne, La Fin du Monde"
Frank Jendrzytza,No info,No info,Reparto,"Ich bin an Weihnachten allein in Berlin, Traumnovelle, Blutsverwandte"
Bastian Scheibe,No info,No info,"Reparto, Edición, Producción","Der Perfektionist, Der Liebesbaum, The Passenger"
Harry Chambarry,No info,No info,"Reparto, Producción, Guion","Bull, Sexo en Nueva York, Ley y orden: Unidad de Víctimas Especiales"
Jordan Gosnell,21 de enero,1 premio y 1 nominación,"Edición, Reparto, Producción","Handheld, Like Daughter, Like Mother, Nashville"
Jessica Alexandra Green,No info,16 premios y 9 nominaciones,"Reparto, Edición, Dirección","A Very Nutty Christmas, Presa de una obsesión, Remains"
Cuete Yeska,No info,1 premio,"Reparto, Producción, Guion","Cuenta pendiente, Better Things, On My Block"
Glenn Plummer,18 de agosto de 1961,2 premios y 2 nominaciones,"Reparto, Dirección, Producción","Días extraños, Showgirls, Speed: Máxima potencia"
Cesar Garcia,No info,1 premio,"Reparto, Especialistas, Producción","Fast & Furious: Aún más rápido, Breaking Bad, Círculo"
Jeremy Lee C.,No info,No info,"Reparto, Dirección, Guion","Way Out There, Akrasia, As Simple As Hello"
McKenna Stoffer,No info,No info,Reparto,"I Only Want You, The Enormity of Life, Cadia: The World Within"
Bryan Lewis,No info,No info,Reparto,No info
Zachary Levi,29 de septiembre de 1980,3 premios y 23 nominaciones,"Reparto, Producción, Dirección","¡Shazam!, Chuck, Enredados"
Mark Strong,5 de agosto de 1963,3 premios y 11 nominaciones en total,"Reparto, Producción","1917, ¡Shazam!, Kingsman: Servicio secreto"
Asher Angel,6 de septiembre de 2002,2 premios y 1 nominación,"Reparto, Banda sonora, Producción","¡Shazam!, Andi Mack, ¡Shazam! La furia de los dioses"
Resham Firiri,No info,No info,Reparto,No info
Surendra K.C.,No info,No info,Reparto,"Jadugar 2, Jai Bhole, Meri Bassai"
Simpal Kharel,No info,No info,Reparto,No info
Antonio Jesús Lorenzo 'Cachín',No info,No info,Reparto,"A encrucillada, Instrucciones para empezar a hablar gallego, Medos"
José Ramón Villarino,No info,No info,Reparto,No info
Rocío Fernández Insua,No info,No info,Reparto,No info
Beatie Edney,23 de octubre de 1962,No info,"Reparto, Dirección, Guion","Los inmortales, En el nombre del padre, Un gran día para ellas"
Dimitri Gripari,No info,No info,Reparto,No info
Gabriella Moran,No info,No info,"Reparto, Guion","NYET! - a Brexit UK Border Farce, Acts of Passion, A Winter's Journey"
Mille Dinesen,No info,2 premios y 7 nominaciones,Reparto,"Rita, Simon & Malou, Nynne"
Lærke Winther,23 de septiembre de 1975,2 nominaciones,"Reparto, Guion, Guion y continuidad","Flame y Citrón, Those Who Kill, Album"
Stephania Potalivo,No info,2 premios y 2 nominaciones,"Reparto, Vestuario, Banda sonora","Sjit Happens, Lykkefanten, Albert"
Olu Adaeze,No info,11 premios,"Reparto, Cámara y electricidad","Guilty Bunch of Flowers, Emmerdale, Sandman"
Eleanor Burke,No info,53 premios y 2 nominaciones,Reparto,"Emotional Distress, Guilty Bunch of Flowers, A Date with Shillelagh"
Kenny Davies,No info,14 premios,Reparto,No info
Orçun Kaptan,No info,No info,Reparto,"Pardon, Emret Komutanim: Sah Mat, Sifir: Etkisiz Eleman"
Birgül Ulusoy,No info,No info,Reparto,"Firuze, Yalanci Yarim, Sebeke"
Ali Riza Tanyeli,No info,No info,Reparto,"Zaman Makinesi 1973, Agir Romantik, Pelesenk Ailesi"
Mary Nepi,No info,No info,Reparto,"Snatchers, Not Cool, Snatchers"
Gabrielle Elyse,19 de noviembre de 1996,1 nominación,Reparto,"Nicky, Ricky, Dicky y Dawn, Snatchers, Los Thundermans"
J.J. Nolan,2 de octubre,4 premios y 1 nominación,"Reparto, Producción, Dirección de arte","Pretty Problems, Snatchers, Chicago Med"
Quenn Partin,No info,No info,Reparto,No info
Jess Taylor,No info,No info,"Producción, Dirección, Edición","Quiet Hours Enforced, Satisfaction, Anxiety"
Adil Zubair,No info,No info,"Reparto, Dirección, Guion","Pasta, Jay and Anna, Tribe"
Danielle Leaf,No info,No info,"Equipos adicionales, Reparto, Transporte","People You Know, The Closer, Based on a True Story"
Topher Naylor,No info,No info,Reparto,No info
Chris Mollica,17 de enero de 1981,7 premios y 4 nominaciones,"Reparto, Edición, Guion","Family Obligations, Sofa King, The Mix"
Chandler Rosenthal,No info,2 premios,Reparto,"Unbreakable Kimmy Schmidt: Kimmy contra el reverendo, Family Obligations, Sofa King"
Frank Failla,No info,2 premios,Reparto,"Family Obligations, It's Love, Bro, My Sister's Wedding"
Joey Greer,No info,1 nominación,Reparto,"The Late Bloomer, Co-Star Master Class, Enamorarse"
Nina E. Jordan,No info,1 premio,Reparto,"El club del odio, Desaparecido a medianoche, Thirsty"
Brendan Mitchell,9 de julio de 1982,No info,"Reparto, Edición, Dirección","Dysmorphia, Night Owls 3, Night Owls"
Gabriel Mercado,No info,No info,Reparto,"An Hour to Kill, Killer Waves, Dysmorphia"
Frankie Pozos,No info,No info,Reparto,"An Hour to Kill, Headless Horseman, LA 143"
Kent Allen,No info,No info,Reparto,No info
Scott Mitchell,No info,No info,"Música, Composición, Reparto","Life Below Zero, Calls from the Inside, El libro de los secretos de EE. UU."
Eric Willis,No info,No info,"Reparto, Guion, Producción","My Neighbor Wants Me Dead, My Neighbor Wants Me Dead, The Daddy-O"
Bobby Friedman,No info,1 nominación,"Guion, Dirección, Producción","Under Cover Comic, Disservice, The Stranger"
Amita Sharma,No info,No info,Reparto,"Expecting, Under Cover Comic, Grease the Door"
Elon Gold,14 de septiembre de 1970,No info,"Reparto, Producción, Guion","Doce en casa, The In-laws, The Dana Carvey Show"
Tingna Guan,No info,No info,Reparto,No info
Yishan Jiang,No info,No info,Reparto,No info
Xiaobao Song,No info,2 premios y 2 nominaciones,"Reparto, Dirección, Guion","Ying tao, Fa cai ri ji, Tian qi yu bao"
Diana Lado,No info,No info,Reparto,"The Last Fitness Instructor, Vuelo 192, The Chicken Party"
Sergey A.,16 de abril de 1996,3 premios y 4 nominaciones,"Guion, Producción, Dirección de fotografía y cámara","Deadly Cruise, Punishment, Mezhzvyozdnyie voyny. Sila probuzhdayetsya"
Tres Dillon,No info,No info,Reparto,"Her Mind in Pieces, The Edge of Her Mind Anthology, Uncertainship"
Erikson Dockery,No info,No info,"Reparto, Guion, Equipos adicionales","Patrons, Freelancers Anonymous, Her Mind in Pieces"
Kaydee Dolan,No info,No info,Reparto,"Her Mind in Pieces, The Edge of Her Mind Anthology, Uncertainship"
Lindsay Coryne,No info,No info,Reparto,"Orange Is the New Black, Better Things, Eres lo peor"
Nicole DuBois,No info,No info,"Reparto, Guion, Producción","The Shrink Next Door, Magic Carpet Rides, Eres lo peor"
Lauren Ashley Hill,No info,No info,Reparto,"With 2 You Get Horror, My Life Worked Out, Good Samaritans"
Abdulrahman Al-Aqel,No info,No info,Reparto,"Muntasaf al-Lail, Al-Mukhayyam, My Aunt Qumasha"
Khalid Al-Farhan,No info,No info,"Producción, Reparto",No info
Essa Al-Marzouq,No info,1 nominación,Reparto,No info
Zizan Razak,No info,1 nominación,"Reparto, Producción, Dirección","Cicak-Man 3, Polis Evo, Abang Long Fadil 3"
Awie,No info,3 nominaciones,"Reparto, Producción, Dirección","Bara, Rebel, Dollah Superstar"
Julangtip Sukkasem,No info,No info,Reparto,No info
Hayley Tibbenham,No info,1 premio,"Guion, Dirección, Reparto","Inhuman, Aves, Uglies"
Mason Reeves,No info,No info,Reparto,"Inhuman, How to Cure Insomnia, Weiner Police"
Megumi Nakamura,No info,No info,Reparto,"Evil, Inhuman, High Maintenance"
David Beatty,1 de diciembre,3 premios y 4 nominaciones,"Reparto, Guion, Dirección","The White Room, Get Spy, The Human Project"
Jeff Elam,No info,No info,Reparto,"American Crime Story, Silicon Valley, Hacks"
Allyson Sereboff,No info,1 premio y 3 nominaciones,"Reparto, Producción, Equipos adicionales","A Place Among the Dead, Poultrygeist: Night of the Chicken Dead, The Hitchhiker Effect"
Shweta Tripathi,6 de julio de 1985,5 premios y 18 nominaciones,Reparto,"Masaan, Mirapur, Haraamkhor"
Alisha,No info,No info,Reparto,No info
Rebecca Harrod,No info,No info,Reparto,"Festival de la Canción de Eurovisión: La historia de Fire Saga, Última noche en el Soho, Guilt"
Tony Bond,No info,No info,Reparto,No info
Oengus MacNamara,No info,No info,Reparto,"Entre la razón y la locura, Juego de tronos, Britannia"
Marie Mouté,No info,No info,Reparto,"Promises, Welcome to New York, Le gendre idéal 2"
Erica Sturdefant,No info,No info,Reparto,"Zoombies 2, The Right Eye 2, Symmetry"
Barry Brewer,No info,No info,"Reparto, Producción, Dirección","Chicago I'm Home, Games People Play, Bruh"
Kelsey Keely,No info,No info,Reparto,"Riot for the dove, Du Ffunk Superheroes, Driver"
Chris Sparks,No info,No info,"Reparto, Producción, Arte","Dichotomy, The Fall, The Sound of Settling"
Cody Reiss,No info,No info,"Reparto, Producción, Guion","Cody Sucks, Nuva Ring Brunch, Wine Tasting"
Alan Trinca,No info,No info,"Reparto, Guion, Producción","Transformers: Rescue Bots Academy, Bull, Heartbreak Falls Part 1"
Samantha Ruston,No info,No info,Reparto,"Perfect: Android Rising, Assassinista, Dreams of You & Me"
